ID,Name,Gender,Start_Date,End_Date,Reason_for_Tenure_End,Days_in_Office,Appointment_Delay,Date_of_Birth,Date_of_Death,Degrees_Earned,Political_Affiliation,Married,Lok_Sabha,Rajya_Sabha,MLA,MLC,Governor,Union_Cabinet,State_Cabinet,Source_Socio
PRES002,Dr. Sarvepalli Radhakrishnan,M,1952-05-13,1962-05-12,End of term,3651,0,1888-09-05,1975-04-17,Ph.D,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://rajyasabha.nic.in/rsnew/picture_gallery/dr_radhakrhishnan_1.asp | https://vicepresidentofindia.nic.in/former-vice-president/radhakrishna-dr-sarvepalli
PRES003,Dr. Zakir Hussain,M,1962-05-13,1967-05-12,End of term,1825,1,1987-02-08,1969-05-03,Ph.D,FALSE,NA,FALSE,TRUE,FALSE,FALSE,347,FALSE,FALSE,https://rajyasabha.nic.in/rsnew/picture_gallery/dr_z_husain_3.asp https://www.jmi.ac.in/aboutjamia/profile/history/Past_Vice_Chancellors_Profile-16/Dr_Zakir_Husain-2157 |  https://vicepresidentofindia.nic.in/former-vice-Presidents
PRES004,Sh. V.V. Giri,M,1967-05-13,1969-05-03,Resigned - Eventually became President,721,1,1894-08-10,1980-06-24,BA LLB,INC,NA,TRUE,FALSE,TRUE,FALSE,114,TRUE,TRUE,https://rajyasabha.nic.in/rsnew/picture_gallery/v_v_gri_4.asp | https://vicepresidentofindia.nic.in/former-vice-president/sh-vv-giri
PRES101,Sh. Gopal Swarup Pathak,M,1969-08-31,1974-08-30,End of term,1825,120,1896-02-26,1982-08-31,LLB,NA,TRUE,FALSE,TRUE,FALSE,FALSE,91,TRUE,FALSE,https://rajyasabha.nic.in/rsnew/chairman/gsp.asp  https://vicepresidentofindia.nic.in/former-vice-president/sh-gopal-swarup-pathak
PRES007,Sh. B.D.Jatti,M,1974-08-31,1979-08-30,End of term,1825,1,1912-09-10,2002-06-07,LLB,INC,NA,FALSE,FALSE,Mysore-2-26-0-1,FALSE,317,FALSE,TRUE,https://doj.gov.in/about-us/minister/former-minister/sh-bdjatti | https://vicepresidentofindia.nic.in/former-vice-president/sh-bdjatti
PRES005,Sh. M. Hidayatullah,M,1979-08-31,1984-08-30,End of term,1826,1,1905-12-17,1992-09-18,BA LLB,INC,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://web.archive.org/web/20140728063226/http://vicepresidentofindia.nic.in/hiday.asp | https://vicepresidentofindia.nic.in/former-vice-president/sh-m-hidayatullah
PRES010,Sh. R. Venkataraman,M,1984-08-31,1987-07-24,Became President ,1057,1,1910-12-04,2009-01-27,Ph.D,INC,TRUE,Tamil_Nadu-6-3-0-1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,https://vicepresidentofindia.nic.in/former-vice-president/sh-r-venkataraman | https://vicepresidentofindia.nic.in/former-vice-president/sh-r-venkataraman
PRES011,Dr. Shanker Dayal Sharma,M,1987-09-03,1992-07-24,Became President ,1786,41,1918-08-19,1999-12-26,Ph.D,INC,TRUE,Madhya_Pradesh-5-28-0-1,FALSE,Madhya_Pradesh-3-214-0-1,FALSE,250,TRUE,TRUE,https://rajyasabha.nic.in/rsnew/picture_gallery/sdsharma_9.asp | https://vicepresidentofindia.nic.in/former-vice-president/dr-shanker-dayal-sharma
PRES012,Sh. K.R. Narayanan,M,1992-08-21,1997-07-24,Became President ,1798,28,1920-10-27,2005-11-05,M.A.,INC,TRUE,Kerala-8-8-0-1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,https://vicepresidentofindia.nic.in/former-vice-president/sh-kr-narayanan
PRES102,Sh. Krishan Kant,M,1997-08-21,2002-07-27,Death,1801,28,1927-02-28,2002-07-27,M.Sc.,BLD ,TRUE,Chandigarh-6-1-0-1,TRUE,FALSE,FALSE,204,FALSE,FALSE,https://rajyasabha.nic.in/rsnew/chairman/kant.asp | https://vicepresidentofindia.nic.in/former-vice-president/sh-krishan-kant
PRES103,Sh. Bhairon Singh Shekhawat,M,2002-08-19,2007-07-21,Resigned ,1797,23,1923-10-23,2010-05-15,None,BJP,TRUE,Rajasthan-5-21-0-2,TRUE,Rajasthan-11-166-0-1,FALSE,FALSE,FALSE,TRUE,https://vicepresidentofindia.nic.in/former-vice-president/sh-bhairon-singh-shekhawat
PRES104,Sh. M. Hamid Ansari,M,2007-08-11,2017-08-10,End of term,3652,21,1937-04-01,NA,M.A.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://mhamidansari.nic.in/profile
PRES105,Shri M. Venkaiah Naidu,M,2017-08-11,current,,,1,1949-07-01,NA,B.A.; B.L.,BJP,TRUE,Andhra_Pradesh-9-16-0-2,TRUE,Andhra_Pradesh-6-124-0-1,FALSE,FALSE,TRUE,FALSE,https://www.india.gov.in/my-government/whos-who/vice-president